!version date: 2019/06/01 14:44:40
!description: Mapping of GO terms to Pfam entries. This mapping is generated from data supplied by InterPro for the InterPro2GO mapping.
!external resources: http://www.ebi.ac.uk/interpro, http://pfam.sanger.ac.uk/
!citation: Mitchell et al. (2015) Nucl. Acids Res. 43 :D213-D221
!contact:interhelp@ebi.ac.uk
!
Pfam:PF00001 7tm_1 > GO:G protein-coupled receptor signaling pathway ; GO:0007186
Pfam:PF00002 7tm_2 > GO:G protein-coupled receptor signaling pathway ; GO:0007186
Pfam:PF00003 7tm_3 > GO:G protein-coupled receptor signaling pathway ; GO:0007186
Pfam:PF00015 MCPsignal > GO:signal transduction ; GO:0007165
Pfam:PF00028 Cadherin > GO:homophilic cell adhesion via plasma membrane adhesion molecules ; GO:0007156
Pfam:PF00044 Gp_dh_N > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00048 IL8 > GO:immune response ; GO:0006955
Pfam:PF00056 Ldh_1_N > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00064 Neur > GO:carbohydrate metabolic process ; GO:0005975
Pfam:PF00067 p450 > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00068 Phospholip_A2_1 > GO:phospholipid metabolic process ; GO:0006644
Pfam:PF00068 Phospholip_A2_1 > GO:arachidonic acid secretion ; GO:0050482
Pfam:PF00069 Pkinase > GO:protein phosphorylation ; GO:0006468
Pfam:PF00072 Response_reg > GO:phosphorelay signal transduction system ; GO:0000160
Pfam:PF00080 Sod_Cu > GO:superoxide metabolic process ; GO:0006801
Pfam:PF00081 Sod_Fe_N > GO:superoxide metabolic process ; GO:0006801
Pfam:PF00081 Sod_Fe_N > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00082 Peptidase_S8 > GO:proteolysis ; GO:0006508
Pfam:PF00083 Sugar_tr > GO:transmembrane transport ; GO:0055085
Pfam:PF00085 Thioredoxin > GO:cell redox homeostasis ; GO:0045454
Pfam:PF00089 Trypsin > GO:proteolysis ; GO:0006508
Pfam:PF00102 Y_phosphatase > GO:protein dephosphorylation ; GO:0006470
Pfam:PF00105 zf-C4 > GO:regulation of transcription, DNA-templated ; GO:0006355
Pfam:PF00107 ADH_zinc_N > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00110 wnt > GO:multicellular organism development ; GO:0007275
Pfam:PF00110 wnt > GO:Wnt signaling pathway ; GO:0016055
Pfam:PF00112 Peptidase_C1 > GO:proteolysis ; GO:0006508
Pfam:PF00114 Pilin > GO:cell adhesion ; GO:0007155
Pfam:PF00115 COX1 > GO:aerobic respiration ; GO:0009060
Pfam:PF00115 COX1 > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00119 ATP-synt_A > GO:ATP synthesis coupled proton transport ; GO:0015986
Pfam:PF00120 Gln-synt_C > GO:nitrogen compound metabolic process ; GO:0006807
Pfam:PF00124 Photo_RC > GO:photosynthetic electron transport in photosystem II ; GO:0009772
Pfam:PF00124 Photo_RC > GO:photosynthesis, light reaction ; GO:0019684
Pfam:PF00126 HTH_1 > GO:regulation of transcription, DNA-templated ; GO:0006355
Pfam:PF00128 Alpha-amylase > GO:carbohydrate metabolic process ; GO:0005975
Pfam:PF00130 C1_1 > GO:intracellular signal transduction ; GO:0035556
Pfam:PF00133 tRNA-synt_1 > GO:tRNA aminoacylation for protein translation ; GO:0006418
Pfam:PF00140 Sigma70_r1_2 > GO:DNA-templated transcription, initiation ; GO:0006352
Pfam:PF00140 Sigma70_r1_2 > GO:regulation of transcription, DNA-templated ; GO:0006355
Pfam:PF00141 peroxidase > GO:response to oxidative stress ; GO:0006979
Pfam:PF00141 peroxidase > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00142 Fer4_NifH > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00143 Interferon > GO:defense response ; GO:0006952
Pfam:PF00146 NADHdh > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00148 Oxidored_nitro > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00150 Cellulase > GO:carbohydrate metabolic process ; GO:0005975
Pfam:PF00152 tRNA-synt_2 > GO:tRNA aminoacylation for protein translation ; GO:0006418
Pfam:PF00154 RecA > GO:DNA repair ; GO:0006281
Pfam:PF00155 Aminotran_1_2 > GO:biosynthetic process ; GO:0009058
Pfam:PF00156 Pribosyltran > GO:nucleoside metabolic process ; GO:0009116
Pfam:PF00157 Pou > GO:regulation of transcription, DNA-templated ; GO:0006355
Pfam:PF00158 Sigma54_activat > GO:regulation of transcription, DNA-templated ; GO:0006355
Pfam:PF00160 Pro_isomerase > GO:protein peptidyl-prolyl isomerization ; GO:0000413
Pfam:PF00161 RIP > GO:negative regulation of translation ; GO:0017148
Pfam:PF00162 PGK > GO:glycolytic process ; GO:0006096
Pfam:PF00164 Ribosom_S12_S23 > GO:translation ; GO:0006412
Pfam:PF00165 HTH_AraC > GO:regulation of transcription, DNA-templated ; GO:0006355
Pfam:PF00166 Cpn10 > GO:protein folding ; GO:0006457
Pfam:PF00170 bZIP_1 > GO:regulation of transcription, DNA-templated ; GO:0006355
Pfam:PF00171 Aldedh > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00172 Zn_clus > GO:regulation of transcription, DNA-templated ; GO:0006355
Pfam:PF00174 Oxidored_molyb > GO:nitrate assimilation ; GO:0042128
Pfam:PF00175 NAD_binding_1 > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00178 Ets > GO:regulation of transcription, DNA-templated ; GO:0006355
Pfam:PF00180 Iso_dh > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00181 Ribosomal_L2 > GO:translation ; GO:0006412
Pfam:PF00182 Glyco_hydro_19 > GO:chitin catabolic process ; GO:0006032
Pfam:PF00182 Glyco_hydro_19 > GO:cell wall macromolecule catabolic process ; GO:0016998
Pfam:PF00183 HSP90 > GO:protein folding ; GO:0006457
Pfam:PF00185 OTCace > GO:cellular amino acid metabolic process ; GO:0006520
Pfam:PF00186 DHFR_1 > GO:tetrahydrofolate biosynthetic process ; GO:0046654
Pfam:PF00186 DHFR_1 > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00189 Ribosomal_S3_C > GO:translation ; GO:0006412
Pfam:PF00193 Xlink > GO:cell adhesion ; GO:0007155
Pfam:PF00196 GerE > GO:regulation of transcription, DNA-templated ; GO:0006355
Pfam:PF00199 Catalase > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00203 Ribosomal_S19 > GO:translation ; GO:0006412
Pfam:PF00204 DNA_gyraseB > GO:DNA topological change ; GO:0006265
Pfam:PF00208 ELFV_dehydrog > GO:cellular amino acid metabolic process ; GO:0006520
Pfam:PF00208 ELFV_dehydrog > GO:oxidation-reduction process ; GO:0055114
Pfam:PF00210 Ferritin > GO:cellular iron ion homeostasis ; GO:0006879
Pfam:PF00211 Guanylate_cyc > GO:cyclic nucleotide biosynthetic process ; GO:0009190
Pfam:PF00211 Guanylate_cyc > GO:intracellular signal transduction ; GO:0035556
Pfam:PF00213 OSCP > GO:ATP synthesis coupled proton transport ; GO:0015986
Pfam:PF00215 OMPdecase > GO:'de novo' pyrimidine nucleobase biosynthetic process ; GO:0006207
Pfam:PF00223 PsaA_PsaB > GO:photosynthesis ; GO:0015979
Pfam:PF00224 PK > GO:glycolytic process ; GO:0006096
Pfam:PF00225 Kinesin > GO:microtubule-based movement ; GO:0007018
Pfam:PF00227 Proteasome > GO:proteolysis involved in cellular protein catabolic process ; GO:0051603
Pfam:PF00229 TNF > GO:immune response ; GO:0006955
Pfam:PF00230 MIP > GO:transmembrane transport ; GO:0055085
Pfam:PF00231 ATP-synt > GO:ATP synthesis coupled proton transport ; GO:0015986
Pfam:PF00232 Glyco_hydro_1 > GO:carbohydrate metabolic process ; GO:0005975
